Date,Open,High,Low,Close,Volume
2010-05-18,7.70192,7.74695,7.49841,7.56159,929384367
2010-05-19,7.47487,7.57869,7.3367,7.4412,1221062479
2010-05-20,7.23319,7.30658,7.07669,7.12349,1523750404
2010-05-21,6.94079,7.32572,6.93205,7.26048,1457969402
2010-05-24,7.40854,7.51745,7.37949,7.39304,897684929
2010-05-25,7.18758,7.39304,7.1068,7.34692,1246348555
2010-05-26,7.49657,7.55473,7.30366,7.31453,1012088521
2010-05-27,7.51215,7.60675,7.46407,7.59076,788320863
2010-05-28,7.76521,7.77267,7.59076,7.69653,971009272
2010-06-01,7.78159,7.96911,7.75892,7.81458,1041863695
2010-06-02,7.93173,7.93338,7.80074,7.90928,818674333
2010-06-03,7.94575,7.95673,7.8027,7.88383,774035026
2010-06-04,7.7443,7.84754,7.62959,7.66923,901602288
2010-06-07,7.74148,7.76451,7.50696,7.51841,1055099811
2010-06-08,7.59172,7.60458,7.36054,7.47026,1191662678
2010-06-09,7.53758,7.54827,7.26596,7.28706,1016138463
2010-06-10,7.33514,7.51961,7.25685,7.50656,922666837
2010-06-11,7.43591,7.60597,7.41157,7.59585,649190860
2010-06-14,7.67317,7.76451,7.61058,7.61832,717448306
2010-06-15,7.65826,7.78622,7.65552,7.78139,695545823
2010-06-16,7.82025,8.02279,7.80907,8.00699,932630461
2010-06-17,8.11099,8.17761,8.07516,8.14603,1038790616
2010-06-18,8.15674,8.24011,8.13285,8.21157,934241561
2010-06-21,8.32195,8.36011,8.05153,8.09558,921248691
2010-06-22,8.15674,8.26876,8.13485,8.2047,852930222
2010-06-23,8.2267,8.22963,8.02739,8.11883,914866022
2010-06-24,8.11883,8.18595,8.03367,8.05989,851007010
2010-06-25,8.09147,8.09824,7.96449,7.99128,651753308
2010-06-28,7.99943,8.08263,7.92524,8.03928,697017906
2010-06-29,7.92142,7.92142,7.61912,7.67561,1348327815
2010-06-30,7.69222,7.72968,7.49174,7.53661,879926432
2010-07-01,7.61392,7.63451,7.28775,7.44583,1218335745
2010-07-02,7.51117,7.51823,7.28706,7.39883,826999075
2010-07-06,7.39883,7.57525,7.37654,7.45044,732381876
2010-07-07,7.50919,7.75305,7.48321,7.74961,778025508
2010-07-08,7.86736,7.87696,7.63716,7.73362,878561413
2010-07-09,7.69722,7.78758,7.64619,7.77923,516177486
2010-07-12,7.74628,7.8459,7.63618,7.70959,669822512
2010-07-13,7.6768,7.68258,7.3839,7.54532,1415401295
2010-07-14,7.46625,7.66395,7.46103,7.57289,967734605
2010-07-15,7.43896,7.69977,7.40913,7.53383,977985113
2010-07-16,7.58262,7.64,7.44348,7.48812,1237476399
2010-07-19,7.48261,7.48734,7.17963,7.35829,1219938530
2010-07-20,7.26537,7.57819,7.19118,7.54827,1261453608
2010-07-21,7.93958,7.94419,7.61008,7.61684,1411191518
2010-07-22,7.72262,7.79042,7.65003,7.76062,768367184
2010-07-23,7.70683,7.8024,7.67866,7.78886,635291262
2010-07-26,7.79002,7.79357,7.72242,7.76876,496822252
2010-07-27,7.81035,7.93338,7.79974,7.91347,692237535
2010-07-28,7.90092,7.97089,7.79797,7.81878,618753065
2010-07-29,7.81142,7.86903,7.67367,7.7343,766853026
2010-07-30,7.66258,7.78159,7.63776,7.708,534140343
2010-08-02,7.80339,7.86766,7.77923,7.8459,508260302
2010-08-03,7.8459,7.88747,7.77337,7.84881,496368986
2010-08-04,7.87275,7.91897,7.79994,7.87904,500877936
2010-08-05,7.83448,7.88531,7.80671,7.84124,344519613
2010-08-06,7.78159,7.83476,7.71949,7.79337,529961007
2010-08-09,7.83476,7.85548,7.77796,7.84291,360352214
2010-08-10,7.78622,7.80368,7.71773,7.77287,538205651
2010-08-11,7.64569,7.66061,7.48517,7.49608,736616073
2010-08-12,7.38835,7.58386,7.37497,7.54472,636749818
2010-08-13,7.52118,7.54797,7.46328,7.46387,422322452
2010-08-16,7.42316,7.49174,7.38883,7.4205,378660820
2010-08-17,7.494,7.62959,7.46652,7.54994,503235998
2010-08-18,7.56722,7.63087,7.53826,7.58291,403123332
2010-08-19,7.57468,7.59456,7.45162,7.48734,507945799
2010-08-20,7.47153,7.60773,7.46103,7.47967,456883334
2010-08-23,7.54357,7.5512,7.3479,7.36547,492557875
2010-08-24,7.28119,7.28119,7.15116,7.18853,716073184
2010-08-25,7.18853,7.31073,7.10829,7.27793,710181457
2010-08-26,7.35506,7.36378,7.19983,7.19983,554540037
2010-08-27,7.23772,7.26929,7.05844,7.24035,653372649
2010-08-30,7.21288,7.36378,7.21063,7.26626,456118758
2010-08-31,7.24468,7.32797,7.20179,7.2841,500619769
2010-09-01,7.4162,7.53433,7.37979,7.50067,829442761
2010-09-02,7.53197,7.55573,7.44827,7.55573,494100905
2010-09-03,7.63862,7.75344,7.62518,7.75305,620045806
2010-09-07,7.68631,7.77679,7.67829,7.72547,408245996
2010-09-08,7.78307,7.92142,7.76307,7.87746,626511179
2010-09-09,7.94321,7.9863,7.87746,7.88198,521604326
2010-09-10,7.8861,7.92485,7.83202,7.89219,461773358
2010-09-13,7.96941,8.03859,7.96324,8.0012,462695238
2010-09-14,7.97598,8.06497,7.95607,8.03239,483106391
2010-09-15,8.03015,8.10149,8.02572,8.09654,509282821
2010-09-16,8.09824,8.28949,8.07516,8.28684,774926437
2010-09-17,8.31518,8.32805,8.20009,8.25083,755610944
